file_identifier;key;value
64e1e98afdf251829325d2a64593358d;file_name;13587-AVIS-SOC-GLASSDOOR-E1838_P2.html
64e1e98afdf251829325d2a64593358d;import_date;29/04/2023 18:55:07
64e1e98afdf251829325d2a64593358d;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13587-AVIS-SOC-GLASSDOOR-E1838_P2.html
64e1e98afdf251829325d2a64593358d;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13587-AVIS-SOC-GLASSDOOR-E1838_P2.html
64e1e98afdf251829325d2a64593358d;file_pattern;*AVIS-SOC*
29fd7432847103ab9e6c12f141b56e3d;file_size;382.92 Ko
29fd7432847103ab9e6c12f141b56e3d;file_name;13596-AVIS-SOC-GLASSDOOR-E111193_P1.html
29fd7432847103ab9e6c12f141b56e3d;import_date;29/04/2023 18:55:07
29fd7432847103ab9e6c12f141b56e3d;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13596-AVIS-SOC-GLASSDOOR-E111193_P1.html
29fd7432847103ab9e6c12f141b56e3d;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13596-AVIS-SOC-GLASSDOOR-E111193_P1.html
29fd7432847103ab9e6c12f141b56e3d;file_pattern;*AVIS-SOC*
7eb0a6e8f1a409ff4d01c1667cdc593b;file_size;380.30 Ko
7eb0a6e8f1a409ff4d01c1667cdc593b;file_name;13596-AVIS-SOC-GLASSDOOR-E111193_P2.html
7eb0a6e8f1a409ff4d01c1667cdc593b;import_date;29/04/2023 18:55:07
7eb0a6e8f1a409ff4d01c1667cdc593b;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13596-AVIS-SOC-GLASSDOOR-E111193_P2.html
7eb0a6e8f1a409ff4d01c1667cdc593b;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13596-AVIS-SOC-GLASSDOOR-E111193_P2.html
7eb0a6e8f1a409ff4d01c1667cdc593b;file_pattern;*AVIS-SOC*
1df8f22b119e805ffb052c050302e8ee;file_size;237.53 Ko
1df8f22b119e805ffb052c050302e8ee;file_name;13598-AVIS-SOC-GLASSDOOR-E1363502_P1.html
1df8f22b119e805ffb052c050302e8ee;import_date;29/04/2023 18:55:07
1df8f22b119e805ffb052c050302e8ee;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13598-AVIS-SOC-GLASSDOOR-E1363502_P1.html
1df8f22b119e805ffb052c050302e8ee;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13598-AVIS-SOC-GLASSDOOR-E1363502_P1.html
1df8f22b119e805ffb052c050302e8ee;file_pattern;*AVIS-SOC*
0528502c2f3f549497cf2f236ad9dc52;file_size;258.33 Ko
0528502c2f3f549497cf2f236ad9dc52;file_name;13600-AVIS-SOC-GLASSDOOR-E541990_P1.html
0528502c2f3f549497cf2f236ad9dc52;import_date;29/04/2023 18:55:07
